DivisionName  ,Region,Superintendent ,PhoneNumber,FaxNumber,FullAddress,DivisionOfficeLatitude,DivisionOfficeLongitude
Accomack County Public Schools,2,Mr. Warren C. Holland ,757-787-5754,757-787-2951,"PO Box 330, Accomac, VA 23301",37.712919,-75.661132
Albemarle County Public Schools,5,Dr. Matthew S. Haas ,434-296-5826,434-296-5869,"401 McIntire Road, Charlottesville, VA 22902",38.035825,-78.481935
Alexandria City Public Schools,4,Dr. Gregory C. Hutchings Jr.,703-619-8000,703-619-8091,"1340 Braddock Place, Alexandria, VA 22314",38.815808,-77.051712
Alleghany County Public Schools,6,Kimberly K. Halterman ,540-863-1800,540-863-1804,"P.O. Drawer 140, Low Moor, VA 24457",37.79398,-79.86887
Amelia County Public Schools,8,Dr. Lorena Harper ,804-561-2621,804-561-3057,"8701 Otterburn Road Suite 101, Amelia, VA 23002",37.334306,-77.988266
Amherst County Public Schools,5,Dr. Robert Arnold ,434-946-9387,434-946-9346,"P. O. Box 1257, Amherst, VA 24521",37.59162,-79.108441
Appomattox County Public Schools,8,Dr. Annette A. Bennett ,434-352-8251,434-352-0883,"P.O. Box 548, Appomattox, VA 24522",37.356134,-78.848202
Arlington County Public Schools,4,Francisco Duran ,703-228-6010,703-228-6188,"2110 Washington Blvd., Arlington, VA 22204",38.872699,-77.083402
Augusta County Public Schools,5,Dr. Eric W. Bond ,540-245-5100,540-245-5115,"P O Box 960, Verona, VA 24482",38.210585,-78.989369
Bath County Public Schools,5,Mrs. Sue F. Hirsh ,540-839-2722,540-839-3040,"PO Box 67, Warm Springs, VA 24484",38.04624,-79.79061
Bedford County Public Schools,5,Position Vacant,540-5861045,,"310 S. Bridge Street, P.O. Box 748, Bedford, VA 24523",37.3315449,-79.5272726
Bland County Public Schools,7,David Scott Meade ,276-688-3361,276-688-4659,"361 Bears Trail, Bastian, VA 24314",37.156911,-81.147532
Botetourt County Public Schools,6,Dr. Jonathan Russ ,540-473-8263,540-473-8298,"143 Poor Farm Rd, Fincastle, VA 24090",37.505042,-79.864796
Bristol City Public Schools,7,Dr. Keith Perrigan ,276-821-5600,276-821-5601,"280 Lee Street, Bristol, VA 24201",36.598043,-82.209628
Brunswick County Public Schools,8,Dr. Kristy Somerville-Midgette ,434-848-3138,434-848-4001,"1718 Farmer's Field Road, Lawrenceville, VA 23868",36.810078,-77.772833
Buchanan County Public Schools,7,Mrs. Melanie L. Hibbitts ,276-935-4551,276-935-7150,"4447 Slate Creek Road Suite 100, Grundy, VA 24614",37.298344,-82.036032
Buckingham County Public Schools,8,Dr. John R. Keeler ,434-969-6100,434-969-1176,"15595 West James Anderson Rd., Buckingham, VA 23921",37.542549,-78.513033
Buena Vista City Public Schools,5,Dr. Tony Francis ,540-261-2129,540-261-2967,"2329 Chestnut Ave. Suite A, Buena Vista, VA 24416",37.736796,-79.351204
