"School Year","Division Number","Division Name","Disabled","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","N","4,496"," ","4,496"
"2010-2011","1","Accomack County","Y","592"," ","592"
"2010-2011","2","Albemarle County","N","11,812","<","11,820"
"2010-2011","2","Albemarle County","Y","1,400","<","1,401"
"2010-2011","101","Alexandria City","N","10,443"," ","10,443"
"2010-2011","101","Alexandria City","Y","1,556"," ","1,556"
"2010-2011","3","Alleghany County","N","2,355"," ","2,355"
"2010-2011","3","Alleghany County","Y","449"," ","449"
"2010-2011","4","Amelia County","N","1,590"," ","1,590"
"2010-2011","4","Amelia County","Y","225"," ","225"
"2010-2011","5","Amherst County","N","4,056"," ","4,056"
"2010-2011","5","Amherst County","Y","543"," ","543"
"2010-2011","6","Appomattox County","N","2,026"," ","2,026"
"2010-2011","6","Appomattox County","Y","274"," ","274"
"2010-2011","7","Arlington County","N","18,437","<","18,438"
"2010-2011","7","Arlington County","Y","3,048"," ","3,048"
"2010-2011","8","Augusta County","N","9,764","<","9,765"
"2010-2011","8","Augusta County","Y","1,005"," ","1,005"
"2010-2011","9","Bath County","N","570"," ","570"
"2010-2011","9","Bath County","Y","88"," ","88"
"2010-2011","10","Bedford County","N","9,596","<","9,598"
"2010-2011","10","Bedford County","Y","996","<","997"
"2010-2011","11","Bland County","N","779"," ","779"
"2010-2011","11","Bland County","Y","118"," ","118"
"2010-2011","12","Botetourt County","N","4,211","<","4,212"
"2010-2011","12","Botetourt County","Y","798"," ","798"
"2010-2011","102","Bristol City","N","2,029"," ","2,029"
"2010-2011","102","Bristol City","Y","368"," ","368"
"2010-2011","13","Brunswick County","N","1,890"," ","1,890"
"2010-2011","13","Brunswick County","Y","207"," ","207"
"2010-2011","14","Buchanan County","N","2,743"," ","2,743"
"2010-2011","14","Buchanan County","Y","590"," ","590"
"2010-2011","15","Buckingham County","N","1,804"," ","1,804"
"2010-2011","15","Buckingham County","Y","231"," ","231"
"2010-2011","103","Buena Vista City","N","985"," ","985"
"2010-2011","103","Buena Vista City","Y","150"," ","150"
"2010-2011","16","Campbell County","N","7,711"," ","7,711"
"2010-2011","16","Campbell County","Y","817"," ","817"
"2010-2011","17","Caroline County","N","3,612"," ","3,612"
"2010-2011","17","Caroline County","Y","645"," ","645"
"2010-2011","18","Carroll County","N","3,900"," ","3,900"
"2010-2011","18","Carroll County","Y","571"," ","571"
"2010-2011","19","Charles City County","N","712"," ","712"
"2010-2011","19","Charles City County","Y","132"," ","132"
"2010-2011","20","Charlotte County","N","1,809"," ","1,809"
"2010-2011","20","Charlotte County","Y","316"," ","316"
"2010-2011","104","Charlottesville City","N","3,455"," ","3,455"
"2010-2011","104","Charlottesville City","Y","575"," ","575"
"2010-2011","136","Chesapeake City","N","32,970","<","32,973"
"2010-2011","136","Chesapeake City","Y","6,778","12","6,790"
"2010-2011","21","Chesterfield County","N","52,190","32","52,222"
"2010-2011","21","Chesterfield County","Y","7,053","14","7,067"
"2010-2011","22","Clarke County","N","1,895","<","1,901"
"2010-2011","22","Clarke County","Y","187","<","189"
"2010-2011","202","Colonial Beach","N","505"," ","505"
"2010-2011","202","Colonial Beach","Y","85"," ","85"
"2010-2011","106","Colonial Heights City","N","2,511","<","2,512"
"2010-2011","106","Colonial Heights City","Y","416"," ","416"
"2010-2011","107","Covington City","N","821"," ","821"
"2010-2011","107","Covington City","Y","159"," ","159"
"2010-2011","23","Craig County","N","600"," ","600"
"2010-2011","23","Craig County","Y","118"," ","118"
"2010-2011","24","Culpeper County","N","6,988","11","6,999"
"2010-2011","24","Culpeper County","Y","722"," ","722"
"2010-2011","25","Cumberland County","N","1,345"," ","1,345"
"2010-2011","25","Cumberland County","Y","158"," ","158"
"2010-2011","108","Danville City","N","5,487"," ","5,487"
"2010-2011","108","Danville City","Y","929"," ","929"
"2010-2011","26","Dickenson County","N","2,142"," ","2,142"
"2010-2011","26","Dickenson County","Y","379"," ","379"
"2010-2011","27","Dinwiddie County","N","4,007"," ","4,007"
"2010-2011","27","Dinwiddie County","Y","563"," ","563"
"2010-2011","28","Essex County","N","1,418"," ","1,418"
"2010-2011","28","Essex County","Y","216"," ","216"
"2010-2011","29","Fairfax County","N","150,342","<","150,350"
"2010-2011","29","Fairfax County","Y","24,137"," ","24,137"
"2010-2011","109","Falls Church City","N","1,848","<","1,849"
"2010-2011","109","Falls Church City","Y","236"," ","236"
"2010-2011","30","Fauquier County","N","10,091","<","10,092"
"2010-2011","30","Fauquier County","Y","1,195","<","1,198"
"2010-2011","31","Floyd County","N","1,791","<","1,792"
"2010-2011","31","Floyd County","Y","280","<","281"
"2010-2011","32","Fluvanna County","N","3,292"," ","3,292"
"2010-2011","32","Fluvanna County","Y","481","<","483"
"2010-2011","135","Franklin City","N","1,100"," ","1,100"
"2010-2011","135","Franklin City","Y","183"," ","183"
"2010-2011","33","Franklin County","N","6,226"," ","6,226"
