"School Year","Division Number","Division Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","N","4,406"," ","4,406"
"2010-2011","1","Accomack County","Y","682"," ","682"
"2010-2011","2","Albemarle County","N","12,183","<","12,192"
"2010-2011","2","Albemarle County","Y","1,029"," ","1,029"
"2010-2011","101","Alexandria City","N","8,560"," ","8,560"
"2010-2011","101","Alexandria City","Y","3,439"," ","3,439"
"2010-2011","3","Alleghany County","N","2,785"," ","2,785"
"2010-2011","3","Alleghany County","Y","19"," ","19"
"2010-2011","4","Amelia County","N","1,800"," ","1,800"
"2010-2011","4","Amelia County","Y","15"," ","15"
"2010-2011","5","Amherst County","N","4,582"," ","4,582"
"2010-2011","5","Amherst County","Y","17"," ","17"
"2010-2011","6","Appomattox County","N","2,299"," ","2,299"
"2010-2011","6","Appomattox County","Y","<"," ","<"
"2010-2011","7","Arlington County","N","14,942","<","14,943"
"2010-2011","7","Arlington County","Y","6,543"," ","6,543"
"2010-2011","8","Augusta County","N","10,600","<","10,601"
"2010-2011","8","Augusta County","Y","169"," ","169"
"2010-2011","9","Bath County","N","647"," ","647"
"2010-2011","9","Bath County","Y","11"," ","11"
"2010-2011","10","Bedford County","N","10,451","<","10,454"
"2010-2011","10","Bedford County","Y","141"," ","141"
"2010-2011","11","Bland County","N","897"," ","897"
"2010-2011","12","Botetourt County","N","4,993","<","4,994"
"2010-2011","12","Botetourt County","Y","16"," ","16"
"2010-2011","102","Bristol City","N","2,377"," ","2,377"
"2010-2011","102","Bristol City","Y","20"," ","20"
"2010-2011","13","Brunswick County","N","2,082"," ","2,082"
"2010-2011","13","Brunswick County","Y","15"," ","15"
"2010-2011","14","Buchanan County","N","3,332"," ","3,332"
"2010-2011","14","Buchanan County","Y","<"," ","<"
"2010-2011","15","Buckingham County","N","2,035"," ","2,035"
"2010-2011","103","Buena Vista City","N","1,135"," ","1,135"
"2010-2011","16","Campbell County","N","8,439"," ","8,439"
"2010-2011","16","Campbell County","Y","89"," ","89"
"2010-2011","17","Caroline County","N","4,178"," ","4,178"
"2010-2011","17","Caroline County","Y","79"," ","79"
"2010-2011","18","Carroll County","N","4,301"," ","4,301"
"2010-2011","18","Carroll County","Y","170"," ","170"
"2010-2011","19","Charles City County","N","828"," ","828"
"2010-2011","19","Charles City County","Y","16"," ","16"
"2010-2011","20","Charlotte County","N","2,104"," ","2,104"
"2010-2011","20","Charlotte County","Y","21"," ","21"
"2010-2011","104","Charlottesville City","N","3,585"," ","3,585"
"2010-2011","104","Charlottesville City","Y","445"," ","445"
"2010-2011","136","Chesapeake City","N","39,086","14","39,100"
"2010-2011","136","Chesapeake City","Y","662","<","663"
"2010-2011","21","Chesterfield County","N","56,172","46","56,218"
"2010-2011","21","Chesterfield County","Y","3,071"," ","3,071"
"2010-2011","22","Clarke County","N","2,035","<","2,043"
"2010-2011","22","Clarke County","Y","47"," ","47"
"2010-2011","202","Colonial Beach","N","581"," ","581"
"2010-2011","202","Colonial Beach","Y","<"," ","<"
"2010-2011","106","Colonial Heights City","N","2,810","<","2,811"
"2010-2011","106","Colonial Heights City","Y","117"," ","117"
"2010-2011","107","Covington City","N","976"," ","976"
"2010-2011","107","Covington City","Y","<"," ","<"
"2010-2011","23","Craig County","N","717"," ","717"
"2010-2011","23","Craig County","Y","<"," ","<"
"2010-2011","24","Culpeper County","N","7,248","11","7,259"
"2010-2011","24","Culpeper County","Y","462"," ","462"
"2010-2011","25","Cumberland County","N","1,469"," ","1,469"
"2010-2011","25","Cumberland County","Y","34"," ","34"
"2010-2011","108","Danville City","N","6,176"," ","6,176"
"2010-2011","108","Danville City","Y","240"," ","240"
"2010-2011","26","Dickenson County","N","2,521"," ","2,521"
"2010-2011","27","Dinwiddie County","N","4,526"," ","4,526"
"2010-2011","27","Dinwiddie County","Y","44"," ","44"
"2010-2011","28","Essex County","N","1,615"," ","1,615"
"2010-2011","28","Essex County","Y","19"," ","19"
"2010-2011","29","Fairfax County","N","126,620","<","126,628"
"2010-2011","29","Fairfax County","Y","47,859"," ","47,859"
"2010-2011","109","Falls Church City","N","1,893","<","1,894"
"2010-2011","109","Falls Church City","Y","191"," ","191"
"2010-2011","30","Fauquier County","N","10,731","<","10,735"
"2010-2011","30","Fauquier County","Y","555"," ","555"
"2010-2011","31","Floyd County","N","2,024","<","2,026"
"2010-2011","31","Floyd County","Y","47"," ","47"
"2010-2011","32","Fluvanna County","N","3,738","<","3,740"
"2010-2011","32","Fluvanna County","Y","35"," ","35"
"2010-2011","135","Franklin City","N","1,282"," ","1,282"
"2010-2011","135","Franklin City","Y","<"," ","<"
"2010-2011","33","Franklin County","N","7,286"," ","7,286"
"2010-2011","33","Franklin County","Y","122"," ","122"
"2010-2011","34","Frederick County","N","12,553","<","12,555"
"2010-2011","34","Frederick County","Y","590"," ","590"
"2010-2011","110","Fredericksburg City","N","2,950"," ","2,950"
"2010-2011","110","Fredericksburg City","Y","270"," ","270"
"2010-2011","111","Galax City","N","1,075"," ","1,075"
"2010-2011","111","Galax City","Y","239"," ","239"
"2010-2011","35","Giles County","N","2,502"," ","2,502"
"2010-2011","35","Giles County","Y","<"," ","<"
"2010-2011","36","Gloucester County","N","6,000"," ","6,000"
"2010-2011","36","Gloucester County","Y","15"," ","15"
"2010-2011","37","Goochland County","N","2,438","<","2,439"
"2010-2011","37","Goochland County","Y","43"," ","43"
"2010-2011","38","Grayson County","N","1,925"," ","1,925"
"2010-2011","38","Grayson County","Y","25"," ","25"
"2010-2011","39","Greene County","N","2,747","<","2,748"
"2010-2011","39","Greene County","Y","135"," ","135"
"2010-2011","40","Greensville County","N","2,601"," ","2,601"
"2010-2011","40","Greensville County","Y","68"," ","68"
"2010-2011","41","Halifax County","N","5,863"," ","5,863"
"2010-2011","41","Halifax County","Y","47"," ","47"
"2010-2011","112","Hampton City","N","21,077"," ","21,077"
"2010-2011","112","Hampton City","Y","491"," ","491"
"2010-2011","42","Hanover County","N","18,449","<","18,450"
"2010-2011","42","Hanover County","Y","179"," ","179"
"2010-2011","113","Harrisonburg City","N","2,697"," ","2,697"
"2010-2011","113","Harrisonburg City","Y","2,125"," ","2,125"
"2010-2011","43","Henrico County","N","45,805"," ","45,805"
"2010-2011","43","Henrico County","Y","3,600"," ","3,600"
"2010-2011","44","Henry County","N","6,942"," ","6,942"
"2010-2011","44","Henry County","Y","549"," ","549"
"2010-2011","45","Highland County","N","235"," ","235"
"2010-2011","45","Highland County","Y","<"," ","<"
"2010-2011","114","Hopewell City","N","4,141"," ","4,141"
"2010-2011","114","Hopewell City","Y","94"," ","94"
"2010-2011","46","Isle of Wight County","N","5,476"," ","5,476"
"2010-2011","46","Isle of Wight County","Y","39"," ","39"
"2010-2011","48","King George County","N","4,196","<","4,197"
"2010-2011","48","King George County","Y","27"," ","27"
"2010-2011","50","King William County","N","2,226"," ","2,226"
"2010-2011","50","King William County","Y","13"," ","13"
"2010-2011","49","King and Queen County","N","764"," ","764"
"2010-2011","49","King and Queen County","Y","17"," ","17"
"2010-2011","51","Lancaster County","N","1,318"," ","1,318"
"2010-2011","51","Lancaster County","Y","<"," ","<"
"2010-2011","52","Lee County","N","3,591"," ","3,591"
"2010-2011","52","Lee County","Y","<"," ","<"
"2010-2011","137","Lexington City","N","474"," ","474"
"2010-2011","137","Lexington City","Y","14"," ","14"
"2010-2011","53","Loudoun County","N","56,870","33","56,903"
"2010-2011","53","Loudoun County","Y","6,272"," ","6,272"
"2010-2011","54","Louisa County","N","4,699"," ","4,699"
"2010-2011","54","Louisa County","Y","32"," ","32"
"2010-2011","55","Lunenburg County","N","1,625"," ","1,625"
"2010-2011","55","Lunenburg County","Y","28"," ","28"
"2010-2011","115","Lynchburg City","N","8,479"," ","8,479"
"2010-2011","115","Lynchburg City","Y","167"," ","167"
"2010-2011","56","Madison County","N","1,830","<","1,831"
"2010-2011","56","Madison County","Y","19"," ","19"
"2010-2011","143","Manassas City","N","4,147"," ","4,147"
"2010-2011","143","Manassas City","Y","2,839"," ","2,839"
"2010-2011","144","Manassas Park City","N","1,982"," ","1,982"
"2010-2011","144","Manassas Park City","Y","975"," ","975"
"2010-2011","116","Martinsville City","N","2,227"," ","2,227"
"2010-2011","116","Martinsville City","Y","152"," ","152"
"2010-2011","57","Mathews County","N","1,202"," ","1,202"
"2010-2011","57","Mathews County","Y","10"," ","10"
"2010-2011","58","Mecklenburg County","N","4,784"," ","4,784"
"2010-2011","58","Mecklenburg County","Y","32"," ","32"
"2010-2011","59","Middlesex County","N","1,179"," ","1,179"
"2010-2011","59","Middlesex County","Y","12"," ","12"
"2010-2011","60","Montgomery County","N","9,335"," ","9,335"
"2010-2011","60","Montgomery County","Y","218"," ","218"
"2010-2011","62","Nelson County","N","1,908"," ","1,908"
"2010-2011","62","Nelson County","Y","58"," ","58"
"2010-2011","63","New Kent County","N","2,878"," ","2,878"
"2010-2011","63","New Kent County","Y","10"," ","10"
"2010-2011","117","Newport News City","N","29,583"," ","29,583"
"2010-2011","117","Newport News City","Y","905"," ","905"
"2010-2011","118","Norfolk City","N","33,084"," ","33,084"
"2010-2011","118","Norfolk City","Y","703"," ","703"
"2010-2011","65","Northampton County","N","1,563"," ","1,563"
"2010-2011","65","Northampton County","Y","237"," ","237"
"2010-2011","66","Northumberland County","N","1,437"," ","1,437"
"2010-2011","66","Northumberland County","Y","37"," ","37"
"2010-2011","119","Norton City","N","868"," ","868"
"2010-2011","119","Norton City","Y","<"," ","<"
"2010-2011","67","Nottoway County","N","2,252"," ","2,252"
"2010-2011","67","Nottoway County","Y","95"," ","95"
"2010-2011","68","Orange County","N","5,128","<","5,129"
"2010-2011","68","Orange County","Y","109"," ","109"
"2010-2011","69","Page County","N","3,655"," ","3,655"
"2010-2011","69","Page County","Y","42"," ","42"
"2010-2011","70","Patrick County","N","2,509"," ","2,509"
"2010-2011","70","Patrick County","Y","72"," ","72"
"2010-2011","120","Petersburg City","N","4,419"," ","4,419"
"2010-2011","120","Petersburg City","Y","138"," ","138"
"2010-2011","71","Pittsylvania County","N","9,087"," ","9,087"
"2010-2011","71","Pittsylvania County","Y","171"," ","171"
"2010-2011","142","Poquoson City","N","2,319","20","2,339"
"2010-2011","142","Poquoson City","Y","<"," ","<"
"2010-2011","121","Portsmouth City","N","15,058"," ","15,058"
"2010-2011","121","Portsmouth City","Y","68"," ","68"
"2010-2011","72","Powhatan County","N","4,444","<","4,448"
"2010-2011","72","Powhatan County","Y","32"," ","32"
"2010-2011","73","Prince Edward County","N","2,539"," ","2,539"
"2010-2011","73","Prince Edward County","Y","12"," ","12"
"2010-2011","74","Prince George County","N","6,266"," ","6,266"
"2010-2011","74","Prince George County","Y","91"," ","91"
"2010-2011","75","Prince William County","N","62,861","21","62,882"
"2010-2011","75","Prince William County","Y","16,497"," ","16,497"
