"School Year","Division Number","Division Name","Disadvantaged","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","N","2,454"," ","2,454"
"2010-2011","1","Accomack County","Y","2,634"," ","2,634"
"2010-2011","2","Albemarle County","N","9,662","<","9,671"
"2010-2011","2","Albemarle County","Y","3,550"," ","3,550"
"2010-2011","101","Alexandria City","N","5,265"," ","5,265"
"2010-2011","101","Alexandria City","Y","6,734"," ","6,734"
"2010-2011","3","Alleghany County","N","1,560"," ","1,560"
"2010-2011","3","Alleghany County","Y","1,244"," ","1,244"
"2010-2011","4","Amelia County","N","1,030"," ","1,030"
"2010-2011","4","Amelia County","Y","785"," ","785"
"2010-2011","5","Amherst County","N","2,594"," ","2,594"
"2010-2011","5","Amherst County","Y","2,005"," ","2,005"
"2010-2011","6","Appomattox County","N","1,251"," ","1,251"
"2010-2011","6","Appomattox County","Y","1,049"," ","1,049"
"2010-2011","7","Arlington County","N","14,990","<","14,991"
"2010-2011","7","Arlington County","Y","6,495"," ","6,495"
"2010-2011","8","Augusta County","N","7,143","<","7,144"
"2010-2011","8","Augusta County","Y","3,626"," ","3,626"
"2010-2011","9","Bath County","N","388"," ","388"
"2010-2011","9","Bath County","Y","270"," ","270"
"2010-2011","10","Bedford County","N","7,237","<","7,240"
"2010-2011","10","Bedford County","Y","3,355"," ","3,355"
"2010-2011","11","Bland County","N","523"," ","523"
"2010-2011","11","Bland County","Y","374"," ","374"
"2010-2011","12","Botetourt County","N","4,162","<","4,163"
"2010-2011","12","Botetourt County","Y","847"," ","847"
"2010-2011","102","Bristol City","N","891"," ","891"
"2010-2011","102","Bristol City","Y","1,506"," ","1,506"
"2010-2011","13","Brunswick County","N","1,060"," ","1,060"
"2010-2011","13","Brunswick County","Y","1,037"," ","1,037"
"2010-2011","14","Buchanan County","N","1,240"," ","1,240"
"2010-2011","14","Buchanan County","Y","2,093"," ","2,093"
"2010-2011","15","Buckingham County","N","838"," ","838"
"2010-2011","15","Buckingham County","Y","1,197"," ","1,197"
"2010-2011","103","Buena Vista City","N","698"," ","698"
"2010-2011","103","Buena Vista City","Y","437"," ","437"
"2010-2011","16","Campbell County","N","5,211"," ","5,211"
"2010-2011","16","Campbell County","Y","3,317"," ","3,317"
"2010-2011","17","Caroline County","N","2,178"," ","2,178"
"2010-2011","17","Caroline County","Y","2,079"," ","2,079"
"2010-2011","18","Carroll County","N","2,238"," ","2,238"
"2010-2011","18","Carroll County","Y","2,233"," ","2,233"
"2010-2011","19","Charles City County","N","493"," ","493"
"2010-2011","19","Charles City County","Y","351"," ","351"
"2010-2011","20","Charlotte County","N","981"," ","981"
"2010-2011","20","Charlotte County","Y","1,144"," ","1,144"
"2010-2011","104","Charlottesville City","N","1,890"," ","1,890"
"2010-2011","104","Charlottesville City","Y","2,140"," ","2,140"
"2010-2011","136","Chesapeake City","N","27,826","15","27,841"
"2010-2011","136","Chesapeake City","Y","11,922"," ","11,922"
"2010-2011","21","Chesterfield County","N","43,608","37","43,645"
"2010-2011","21","Chesterfield County","Y","15,635","<","15,644"
"2010-2011","22","Clarke County","N","1,733","<","1,741"
"2010-2011","22","Clarke County","Y","349"," ","349"
"2010-2011","202","Colonial Beach","N","277"," ","277"
"2010-2011","202","Colonial Beach","Y","313"," ","313"
"2010-2011","106","Colonial Heights City","N","1,866","<","1,867"
"2010-2011","106","Colonial Heights City","Y","1,061"," ","1,061"
"2010-2011","107","Covington City","N","584"," ","584"
"2010-2011","107","Covington City","Y","396"," ","396"
"2010-2011","23","Craig County","N","443"," ","443"
"2010-2011","23","Craig County","Y","275"," ","275"
"2010-2011","24","Culpeper County","N","4,787","11","4,798"
"2010-2011","24","Culpeper County","Y","2,923"," ","2,923"
"2010-2011","25","Cumberland County","N","665"," ","665"
"2010-2011","25","Cumberland County","Y","838"," ","838"
"2010-2011","108","Danville City","N","2,125"," ","2,125"
"2010-2011","108","Danville City","Y","4,291"," ","4,291"
"2010-2011","26","Dickenson County","N","1,189"," ","1,189"
"2010-2011","26","Dickenson County","Y","1,332"," ","1,332"
"2010-2011","27","Dinwiddie County","N","2,640"," ","2,640"
"2010-2011","27","Dinwiddie County","Y","1,930"," ","1,930"
"2010-2011","28","Essex County","N","627"," ","627"
"2010-2011","28","Essex County","Y","1,007"," ","1,007"
"2010-2011","29","Fairfax County","N","139,245","<","139,251"
"2010-2011","29","Fairfax County","Y","35,234","<","35,236"
"2010-2011","109","Falls Church City","N","1,957","<","1,958"
"2010-2011","109","Falls Church City","Y","127"," ","127"
"2010-2011","30","Fauquier County","N","8,893","<","8,897"
"2010-2011","30","Fauquier County","Y","2,393"," ","2,393"
"2010-2011","31","Floyd County","N","1,206","<","1,207"
"2010-2011","31","Floyd County","Y","865","<","866"
"2010-2011","32","Fluvanna County","N","2,832","<","2,834"
"2010-2011","32","Fluvanna County","Y","941"," ","941"
"2010-2011","135","Franklin City","N","377"," ","377"
"2010-2011","135","Franklin City","Y","906"," ","906"
"2010-2011","33","Franklin County","N","4,057"," ","4,057"
"2010-2011","33","Franklin County","Y","3,351"," ","3,351"
