"School Year","Division Number","Division Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","1","Accomack County","135","314","333","320","314","329","374","360","363","409","491","359","333","317","4,751","1","4,752"
"2021-2022","2","Albemarle County","258","998","947","1,035","1,019","1,011","978","969","1,075","1,052","1,134","1,049","1,113","1,083","13,721","28","13,749"
"2021-2022","101","Alexandria City","439","1,337","1,283","1,269","1,289","1,198","1,181","1,108","1,079","1,091","1,345","941","1,033","1,083","15,676","36","15,712"
"2021-2022","3","Alleghany County","71","176","147","133","127","135","129","122","159","130","160","136","142","144","1,911"," ","1,911"
"2021-2022","4","Amelia County","65","123","121","112","94","117","109","136","117","148","152","133","109","99","1,635"," ","1,635"
"2021-2022","5","Amherst County","120","273","282","280","296","287","277","305","295","338","341","310","296","270","3,970"," ","3,970"
"2021-2022","6","Appomattox County","80","179","163","176","169","171","161","179","188","176","219","152","147","178","2,338"," ","2,338"
"2021-2022","7","Arlington County","901","1,997","2,122","2,050","2,093","2,049","1,940","1,923","1,968","1,974","2,095","1,872","2,022","2,036","27,042","3","27,045"
"2021-2022","8","Augusta County","303","692","686","676","683","769","709","721","722","781","916","768","746","757","9,929","2","9,931"
"2021-2022","9","Bath County","20","35","35","33","42","32","44","35","38","43","35","34","40","36","502"," ","502"
"2021-2022","10","Bedford County","204","648","610","661","640","653","658","665","660","694","772","741","688","714","9,008","1","9,009"
"2021-2022","11","Bland County","9","45","56","49","47","47","50","44","49","59","62","95","56","51","719"," ","719"
"2021-2022","12","Botetourt County","94","345","312","306","293","322","320","330","337","328","384","373","359","369","4,472"," ","4,472"
"2021-2022","102","Bristol City","87","172","162","180","154","165","155","167","160","159","154","163","158","164","2,200"," ","2,200"
"2021-2022","13","Brunswick County","39","125","96","103","89","97","105","104","107","115","106","106","113","114","1,419"," ","1,419"
"2021-2022","14","Buchanan County","119","166","157","143","166","160","175","193","181","218","186","192","176","195","2,427"," ","2,427"
"2021-2022","15","Buckingham County","88","103","115","115","135","143","134","155","166","183","204","136","134","122","1,933"," ","1,933"
"2021-2022","103","Buena Vista City","45","55","77","56","64","62","59","61","63","67","84","60","60","74","887"," ","887"
"2021-2022","16","Campbell County","293","554","576","521","572","540","545","603","550","641","693","609","533","624","7,854"," ","7,854"
"2021-2022","17","Caroline County","119","313","315","322","318","321","340","325","317","330","336","308","294","280","4,238"," ","4,238"
"2021-2022","18","Carroll County","140","248","258","250","262","253","250","248","276","282","287","254","262","247","3,517","2","3,519"
"2021-2022","19","Charles City County","19","37","35","43","32","44","38","44","43","29","43","37","50","34","528"," ","528"
"2021-2022","20","Charlotte County","64","144","117","116","109","142","123","118","131","130","136","119","122","131","1,702"," ","1,702"
"2021-2022","104","Charlottesville City","215","302","322","315","342","339","301","322","277","322","369","301","289","272","4,288","2","4,290"
"2021-2022","136","Chesapeake City","780","2,722","2,840","2,800","2,741","3,002","2,874","3,084","3,149","3,203","3,551","3,262","3,221","3,249","40,478"," ","40,478"
"2021-2022","21","Chesterfield County","910","4,327","4,341","4,407","4,616","4,390","4,672","4,802","4,921","4,886","5,436","5,093","4,743","4,901","62,445","55","62,500"
"2021-2022","22","Clarke County","28","125","117","108","115","105","140","123","140","152","183","187","147","163","1,833","2","1,835"
"2021-2022","202","Colonial Beach","32","50","39","38","47","45","41","49","49","51","44","50","38","52","625"," ","625"
"2021-2022","106","Colonial Heights City","76","204","210","185","235","211","177","219","202","233","258","189","184","203","2,786"," ","2,786"
"2021-2022","107","Covington City","26","71","73","75","70","86","63","79","73","96","76","56","60","59","963","3","966"
"2021-2022","23","Craig County","11","35","28","30","45","39","25","43","34","44","56","35","40","48","513"," ","513"
"2021-2022","24","Culpeper County","159","564","539","632","573","618","584","612","646","678","851","671","595","644","8,366"," ","8,366"
"2021-2022","25","Cumberland County","76","77","75","89","91","84","83","76","84","102","120","86","100","65","1,208"," ","1,208"
"2021-2022","108","Danville City","253","379","425","449","434","440","443","411","474","402","566","422","355","283","5,736"," ","5,736"
"2021-2022","26","Dickenson County","82","138","135","132","155","155","143","121","159","143","170","152","146","134","1,965"," ","1,965"
"2021-2022","27","Dinwiddie County","85","315","289","315","311","319","323","302","311","322","359","334","292","312","4,189"," ","4,189"
"2021-2022","28","Essex County","36","126","142","144","72","82","76","95","112","108","100","94","102","104","1,393"," ","1,393"
"2021-2022","29","Fairfax County","3,889","12,042","11,900","12,624","12,759","12,651","13,128","13,013","13,368","14,212","14,893","14,544","14,731","14,851","178,605","30","178,635"
"2021-2022","109","Falls Church City","54","157","150","179","165","174","179","182","176","228","223","205","196","225","2,493"," ","2,493"
"2021-2022","30","Fauquier County","147","764","725","747","721","758","785","778","805","904","935","906","886","1,012","10,873","1","10,874"
"2021-2022","31","Floyd County","64","112","123","117","121","116","119","131","115","151","169","141","132","165","1,776"," ","1,776"
"2021-2022","32","Fluvanna County","57","198","192","218","215","234","236","229","284","282","298","312","278","283","3,316"," ","3,316"
"2021-2022","135","Franklin City","46","68","63","72","67","73","76","79","71","80","84","82","53","78","992"," ","992"
