"School Year","Division Number","Division Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","1","Accomack County","N","135","248","234","237","229","227","274","256","266","301","408","319","297","288","3,719","<","3,720"
"2021-2022","1","Accomack County","Y"," ","66","99","83","85","102","100","104","97","108","83","40","36","29","1,032"," ","1,032"
"2021-2022","2","Albemarle County","N","258","884","843","904","884","885","838","866","943","938","1,051","984","1,034","1,012","12,324","28","12,352"
"2021-2022","2","Albemarle County","Y"," ","114","104","131","135","126","140","103","132","114","83","65","79","71","1,397"," ","1,397"
"2021-2022","101","Alexandria City","N","439","735","683","700","706","562","575","557","597","613","939","658","744","754","9,262","35","9,297"
"2021-2022","101","Alexandria City","Y"," ","602","600","569","583","636","606","551","482","478","406","283","289","329","6,414","<","6,415"
"2021-2022","3","Alleghany County","N","70","175","147","130","126","134","128","121","159","130","160","133","137","143","1,893"," ","1,893"
"2021-2022","3","Alleghany County","Y","<","<"," ","<","<","<","<","<"," "," "," ","<","<","<","18"," ","18"
"2021-2022","4","Amelia County","N","65","118","115","104","94","113","99","128","112","142","147","130","108","98","1,573"," ","1,573"
"2021-2022","4","Amelia County","Y"," ","<","<","<"," ","<","10","<","<","<","<","<","<","<","62"," ","62"
"2021-2022","5","Amherst County","N","120","270","279","274","292","281","274","304","289","334","340","306","294","268","3,925"," ","3,925"
"2021-2022","5","Amherst County","Y"," ","<","<","<","<","<","<","<","<","<","<","<","<","<","45"," ","45"
"2021-2022","6","Appomattox County","N","80","177","161","174","164","170","157","178","186","172","218","147","147","177","2,308"," ","2,308"
"2021-2022","6","Appomattox County","Y"," ","<","<","<","<","<","<","<","<","<","<","<"," ","<","30"," ","30"
"2021-2022","7","Arlington County","N","529","1,450","1,501","1,406","1,440","1,376","1,403","1,394","1,420","1,410","1,523","1,523","1,663","1,636","19,674","<","19,677"
"2021-2022","7","Arlington County","Y","372","547","621","644","653","673","537","529","548","564","572","349","359","400","7,368"," ","7,368"
"2021-2022","8","Augusta County","N","303","674","666","653","653","731","686","693","701","753","897","755","738","751","9,654","<","9,656"
"2021-2022","8","Augusta County","Y"," ","18","20","23","30","38","23","28","21","28","19","13","<","<","275"," ","275"
"2021-2022","9","Bath County","N","20","34","35","33","41","32","43","34","35","43","34","34","40","36","494"," ","494"
"2021-2022","9","Bath County","Y"," ","<"," "," ","<"," ","<","<","<"," ","<"," "," "," ","<"," ","<"
"2021-2022","10","Bedford County","N","204","623","593","649","627","646","646","654","643","676","760","732","678","704","8,835","<","8,836"
"2021-2022","10","Bedford County","Y"," ","25","17","12","13","<","12","11","17","18","12","<","10","10","173"," ","173"
"2021-2022","11","Bland County","N","<","45","56","49","47","47","50","44","49","59","62","95","56","51","719"," ","719"
"2021-2022","12","Botetourt County","N","94","337","298","297","282","310","305","322","326","320","378","368","356","368","4,361"," ","4,361"
"2021-2022","12","Botetourt County","Y"," ","<","14","<","11","12","15","<","11","<","<","<","<","<","111"," ","111"
"2021-2022","102","Bristol City","N","87","171","160","177","151","155","154","164","157","157","151","162","156","162","2,164"," ","2,164"
"2021-2022","102","Bristol City","Y"," ","<","<","<","<","10","<","<","<","<","<","<","<","<","36"," ","36"
"2021-2022","13","Brunswick County","N","39","125","96","100","87","94","101","104","105","112","98","105","109","113","1,388"," ","1,388"
"2021-2022","13","Brunswick County","Y"," "," "," ","<","<","<","<"," ","<","<","<","<","<","<","31"," ","31"
"2021-2022","14","Buchanan County","N","119","166","156","140","165","160","175","193","180","218","186","192","176","195","2,421"," ","2,421"
"2021-2022","14","Buchanan County","Y"," "," ","<","<","<"," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2021-2022","15","Buckingham County","N","88","103","110","113","133","137","131","153","163","181","203","133","133","120","1,901"," ","1,901"
"2021-2022","15","Buckingham County","Y"," "," ","<","<","<","<","<","<","<","<","<","<","<","<","32"," ","32"
"2021-2022","103","Buena Vista City","N","45","55","77","56","64","62","59","61","63","67","84","59","60","74","886"," ","886"
