"School Year","Division Number","Division Name","Disadvantaged","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","1","Accomack County","N","127","291","253","138","140","134","154","150","134","263","298","222","212","202","2,718","<","2,719"
"2021-2022","1","Accomack County","Y","<","23","80","182","174","195","220","210","229","146","193","137","121","115","2,033"," ","2,033"
"2021-2022","2","Albemarle County","N","122","726","666","732","725","731","676","684","766","774","830","789","858","861","9,940","26","9,966"
"2021-2022","2","Albemarle County","Y","136","272","281","303","294","280","302","285","309","278","304","260","255","222","3,781","<","3,783"
"2021-2022","101","Alexandria City","N","277","722","617","547","571","494","475","401","409","380","440","386","361","411","6,491","36","6,527"
"2021-2022","101","Alexandria City","Y","162","615","666","722","718","704","706","707","670","711","905","555","672","672","9,185"," ","9,185"
"2021-2022","3","Alleghany County","N","28","115","68","72","68","69","69","73","91","74","88","88","90","97","1,090"," ","1,090"
"2021-2022","3","Alleghany County","Y","43","61","79","61","59","66","60","49","68","56","72","48","52","47","821"," ","821"
"2021-2022","4","Amelia County","N","29","56","66","58","50","50","49","61","61","72","84","75","63","70","844"," ","844"
"2021-2022","4","Amelia County","Y","36","67","55","54","44","67","60","75","56","76","68","58","46","29","791"," ","791"
"2021-2022","5","Amherst County","N","30","125","132","124","136","133","128","142","117","143","145","133","150","135","1,773"," ","1,773"
"2021-2022","5","Amherst County","Y","90","148","150","156","160","154","149","163","178","195","196","177","146","135","2,197"," ","2,197"
"2021-2022","6","Appomattox County","N","31","89","77","93","91","88","89","87","98","83","111","93","99","123","1,252"," ","1,252"
"2021-2022","6","Appomattox County","Y","49","90","86","83","78","83","72","92","90","93","108","59","48","55","1,086"," ","1,086"
"2021-2022","7","Arlington County","N","594","1,470","1,470","1,378","1,396","1,364","1,313","1,294","1,296","1,320","1,396","1,220","1,390","1,402","18,303","<","18,306"
"2021-2022","7","Arlington County","Y","307","527","652","672","697","685","627","629","672","654","699","652","632","634","8,739"," ","8,739"
"2021-2022","8","Augusta County","N","121","367","362","359","377","444","381","413","402","440","509","489","515","474","5,653","<","5,655"
"2021-2022","8","Augusta County","Y","182","325","324","317","306","325","328","308","320","341","407","279","231","283","4,276"," ","4,276"
"2021-2022","9","Bath County","N","<","13","13","11","17","10","16","16","19","<","16","17","24","18","203"," ","203"
"2021-2022","9","Bath County","Y","16","22","22","22","25","22","28","19","19","34","19","17","16","18","299"," ","299"
"2021-2022","10","Bedford County","N","87","366","338","401","349","370","388","389","399","409","462","469","445","498","5,370"," ","5,370"
"2021-2022","10","Bedford County","Y","117","282","272","260","291","283","270","276","261","285","310","272","243","216","3,638","<","3,639"
"2021-2022","11","Bland County","N","<","43","34","24","28","20","22","16","24","30","35","68","26","27","406"," ","406"
"2021-2022","11","Bland County","Y"," ","<","22","25","19","27","28","28","25","29","27","27","30","24","313"," ","313"
"2021-2022","12","Botetourt County","N","71","234","220","219","217","222","237","233","231","247","290","280","285","316","3,302"," ","3,302"
"2021-2022","12","Botetourt County","Y","23","111","92","87","76","100","83","97","106","81","94","93","74","53","1,170"," ","1,170"
