"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","558"," ","558"
"2010-2011","1","Accomack County","540","Arcadia High","610"," ","610"
"2010-2011","1","Accomack County","704","Arcadia Middle","467"," ","467"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","268"," ","268"
"2010-2011","1","Accomack County","580","Chincoteague High","279"," ","279"
"2010-2011","1","Accomack County","600","Kegotank Elementary","604"," ","604"
"2010-2011","1","Accomack County","702","Metompkin Elementary","617"," ","617"
"2010-2011","1","Accomack County","70","Nandua High","603"," ","603"
"2010-2011","1","Accomack County","703","Nandua Middle","472"," ","472"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","536"," ","536"
"2010-2011","1","Accomack County","530","Tangier Combined","74"," ","74"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","531"," ","531"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","36"," ","36"
"2010-2011","2","Albemarle County","880","Albemarle High","1,749","1","1,750"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","471"," ","471"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","158"," ","158"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","321"," ","321"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","602"," ","602"
"2010-2011","2","Albemarle County","340","Crozet Elementary","315"," ","315"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","555"," ","555"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","580"," ","580"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","498","2","500"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","791","1","792"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","402","2","404"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","479"," ","479"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","432"," ","432"
"2010-2011","2","Albemarle County","1052","Monticello High","1,170","1","1,171"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","605","1","606"
"2010-2011","2","Albemarle County","890","Murray High","105"," ","105"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","574"," ","574"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","175"," ","175"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","208"," ","208"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","482"," ","482"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","323"," ","323"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","272"," ","272"
"2010-2011","2","Albemarle County","140","Western Albemarle High","1,060","1","1,061"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","318"," ","318"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","319"," ","319"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary","371"," ","371"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary","622"," ","622"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","422"," ","422"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","429"," ","429"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","412"," ","412"
"2010-2011","101","Alexandria City","100","George Mason Elementary","438"," ","438"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","475"," ","475"
"2010-2011","101","Alexandria City","10","George Washington Middle","484"," ","484"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","589"," ","589"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","335"," ","335"
"2010-2011","101","Alexandria City","230","John Adams Elementary","808"," ","808"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","358"," ","358"
