"School Year","Division Number","Division Name","School Number","School Name","Disabled","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","N","487"," ","487"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","Y","71"," ","71"
"2010-2011","1","Accomack County","540","Arcadia High","N","531"," ","531"
"2010-2011","1","Accomack County","540","Arcadia High","Y","79"," ","79"
"2010-2011","1","Accomack County","704","Arcadia Middle","N","418"," ","418"
"2010-2011","1","Accomack County","704","Arcadia Middle","Y","49"," ","49"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","N","226"," ","226"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","Y","42"," ","42"
"2010-2011","1","Accomack County","580","Chincoteague High","N","249"," ","249"
"2010-2011","1","Accomack County","580","Chincoteague High","Y","30"," ","30"
"2010-2011","1","Accomack County","600","Kegotank Elementary","N","544"," ","544"
"2010-2011","1","Accomack County","600","Kegotank Elementary","Y","60"," ","60"
"2010-2011","1","Accomack County","702","Metompkin Elementary","N","564"," ","564"
"2010-2011","1","Accomack County","702","Metompkin Elementary","Y","53"," ","53"
"2010-2011","1","Accomack County","70","Nandua High","N","537"," ","537"
"2010-2011","1","Accomack County","70","Nandua High","Y","66"," ","66"
"2010-2011","1","Accomack County","703","Nandua Middle","N","416"," ","416"
"2010-2011","1","Accomack County","703","Nandua Middle","Y","56"," ","56"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","N","462"," ","462"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","Y","74"," ","74"
"2010-2011","1","Accomack County","530","Tangier Combined","N","62"," ","62"
"2010-2011","1","Accomack County","530","Tangier Combined","Y","12"," ","12"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","N","480"," ","480"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","Y","51"," ","51"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","N","22"," ","22"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","Y","14"," ","14"
"2010-2011","2","Albemarle County","880","Albemarle High","N","1,558","<","1,559"
"2010-2011","2","Albemarle County","880","Albemarle High","Y","191"," ","191"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","N","430"," ","430"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","Y","41"," ","41"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","N","140"," ","140"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","Y","18"," ","18"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","N","285"," ","285"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","Y","36"," ","36"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","N","557"," ","557"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","Y","45"," ","45"
"2010-2011","2","Albemarle County","340","Crozet Elementary","N","295"," ","295"
"2010-2011","2","Albemarle County","340","Crozet Elementary","Y","20"," ","20"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","N","507"," ","507"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","Y","48"," ","48"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","N","503"," ","503"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","Y","77"," ","77"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","N","440","<","442"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","Y","58"," ","58"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","N","701","<","702"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","Y","90"," ","90"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","N","339","<","341"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","Y","63"," ","63"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","N","423"," ","423"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","Y","56"," ","56"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","N","412"," ","412"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","Y","20"," ","20"
"2010-2011","2","Albemarle County","1052","Monticello High","N","1,004"," ","1,004"
"2010-2011","2","Albemarle County","1052","Monticello High","Y","166","<","167"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","N","557","<","558"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","Y","48"," ","48"
"2010-2011","2","Albemarle County","890","Murray High","N","75"," ","75"
"2010-2011","2","Albemarle County","890","Murray High","Y","30"," ","30"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","N","524"," ","524"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","Y","50"," ","50"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","N","156"," ","156"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","Y","19"," ","19"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","N","186"," ","186"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","Y","22"," ","22"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","N","436"," ","436"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","Y","46"," ","46"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","N","300"," ","300"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","Y","23"," ","23"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","N","258"," ","258"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","Y","14"," ","14"
"2010-2011","2","Albemarle County","140","Western Albemarle High","N","942","<","943"
"2010-2011","2","Albemarle County","140","Western Albemarle High","Y","118"," ","118"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","N","282"," ","282"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","Y","36"," ","36"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","N","283"," ","283"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","Y","36"," ","36"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary","N","332"," ","332"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary","Y","39"," ","39"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary","N","543"," ","543"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary","Y","79"," ","79"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","N","367"," ","367"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","Y","55"," ","55"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","N","384"," ","384"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","Y","45"," ","45"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","N","372"," ","372"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","Y","40"," ","40"
"2010-2011","101","Alexandria City","100","George Mason Elementary","N","386"," ","386"
"2010-2011","101","Alexandria City","100","George Mason Elementary","Y","52"," ","52"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","N","406"," ","406"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","Y","69"," ","69"
"2010-2011","101","Alexandria City","10","George Washington Middle","N","404"," ","404"
"2010-2011","101","Alexandria City","10","George Washington Middle","Y","80"," ","80"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","N","526"," ","526"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","Y","63"," ","63"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","N","246"," ","246"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","Y","89"," ","89"
"2010-2011","101","Alexandria City","230","John Adams Elementary","N","677"," ","677"
"2010-2011","101","Alexandria City","230","John Adams Elementary","Y","131"," ","131"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","N","327"," ","327"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","Y","31"," ","31"
"2010-2011","101","Alexandria City","60","Maury Elementary","N","298"," ","298"
