"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","N","438"," ","438"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","Y","120"," ","120"
"2010-2011","1","Accomack County","540","Arcadia High","N","558"," ","558"
"2010-2011","1","Accomack County","540","Arcadia High","Y","52"," ","52"
"2010-2011","1","Accomack County","704","Arcadia Middle","N","423"," ","423"
"2010-2011","1","Accomack County","704","Arcadia Middle","Y","44"," ","44"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","N","267"," ","267"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","Y","<"," ","<"
"2010-2011","1","Accomack County","580","Chincoteague High","N","278"," ","278"
"2010-2011","1","Accomack County","580","Chincoteague High","Y","<"," ","<"
"2010-2011","1","Accomack County","600","Kegotank Elementary","N","493"," ","493"
"2010-2011","1","Accomack County","600","Kegotank Elementary","Y","111"," ","111"
"2010-2011","1","Accomack County","702","Metompkin Elementary","N","416"," ","416"
"2010-2011","1","Accomack County","702","Metompkin Elementary","Y","201"," ","201"
"2010-2011","1","Accomack County","70","Nandua High","N","566"," ","566"
"2010-2011","1","Accomack County","70","Nandua High","Y","37"," ","37"
"2010-2011","1","Accomack County","703","Nandua Middle","N","427"," ","427"
"2010-2011","1","Accomack County","703","Nandua Middle","Y","45"," ","45"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","N","466"," ","466"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","Y","70"," ","70"
"2010-2011","1","Accomack County","530","Tangier Combined","N","74"," ","74"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","N","416"," ","416"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","Y","115"," ","115"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","N","32"," ","32"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","Y","<"," ","<"
"2010-2011","2","Albemarle County","880","Albemarle High","N","1,631","<","1,632"
"2010-2011","2","Albemarle County","880","Albemarle High","Y","118"," ","118"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","N","437"," ","437"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","Y","34"," ","34"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","N","153"," ","153"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","Y","<"," ","<"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","N","310"," ","310"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","Y","11"," ","11"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","N","585"," ","585"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","Y","17"," ","17"
"2010-2011","2","Albemarle County","340","Crozet Elementary","N","306"," ","306"
"2010-2011","2","Albemarle County","340","Crozet Elementary","Y","<"," ","<"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","N","492"," ","492"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","Y","63"," ","63"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","N","503"," ","503"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","Y","77"," ","77"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","N","447","<","449"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","Y","51"," ","51"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","N","770","<","771"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","Y","21"," ","21"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","N","393","<","395"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","Y","<"," ","<"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","N","334"," ","334"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","Y","145"," ","145"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","N","424"," ","424"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","Y","<"," ","<"
"2010-2011","2","Albemarle County","1052","Monticello High","N","1,115","<","1,116"
"2010-2011","2","Albemarle County","1052","Monticello High","Y","55"," ","55"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","N","580","<","581"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","Y","25"," ","25"
"2010-2011","2","Albemarle County","890","Murray High","N","104"," ","104"
"2010-2011","2","Albemarle County","890","Murray High","Y","<"," ","<"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","N","437"," ","437"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","Y","137"," ","137"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","N","166"," ","166"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","Y","<"," ","<"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","N","207"," ","207"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","Y","<"," ","<"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","N","469"," ","469"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","Y","13"," ","13"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","N","302"," ","302"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","Y","21"," ","21"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","N","250"," ","250"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","Y","22"," ","22"
"2010-2011","2","Albemarle County","140","Western Albemarle High","N","1,049","<","1,050"
"2010-2011","2","Albemarle County","140","Western Albemarle High","Y","11"," ","11"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","N","271"," ","271"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","Y","47"," ","47"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","N","263"," ","263"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","Y","56"," ","56"
