"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","33","103","87","88","81","90","76"," "," "," "," "," "," "," ","558"," ","558"
"2010-2011","1","Accomack County","540","Arcadia High"," "," "," "," "," "," "," "," "," "," ","179","155","150","126","610"," ","610"
"2010-2011","1","Accomack County","704","Arcadia Middle"," "," "," "," "," "," "," ","147","160","160"," "," "," "," ","467"," ","467"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","18","37","32","32","52","45","52"," "," "," "," "," "," "," ","268"," ","268"
"2010-2011","1","Accomack County","580","Chincoteague High"," "," "," "," "," "," "," ","41","41","36","38","43","34","46","279"," ","279"
"2010-2011","1","Accomack County","600","Kegotank Elementary","54","106","99","96","111","68","70"," "," "," "," "," "," "," ","604"," ","604"
"2010-2011","1","Accomack County","702","Metompkin Elementary","36","104","97","83","94","94","109"," "," "," "," "," "," "," ","617"," ","617"
"2010-2011","1","Accomack County","70","Nandua High"," "," "," "," "," "," "," "," "," "," ","185","137","119","162","603"," ","603"
"2010-2011","1","Accomack County","703","Nandua Middle"," "," "," "," "," "," "," ","161","159","152"," "," "," "," ","472"," ","472"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","29","85","82","95","71","86","88"," "," "," "," "," "," "," ","536"," ","536"
"2010-2011","1","Accomack County","530","Tangier Combined"," ","5","8","6","2","3","6","8","8","7","8","5","3","5","74"," ","74"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","23","83","82","85","83","84","91"," "," "," "," "," "," "," ","531"," ","531"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter"," "," "," "," "," "," "," ","12","7","17"," "," "," "," ","36"," ","36"
"2010-2011","2","Albemarle County","880","Albemarle High"," "," "," "," "," "," "," "," "," "," ","450","442","402","455","1,749","1","1,750"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","28","52","76","66","87","78","84"," "," "," "," "," "," "," ","471"," ","471"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","20","16","27","24","22","24","25"," "," "," "," "," "," "," ","158"," ","158"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary"," ","52","48","52","50","46","73"," "," "," "," "," "," "," ","321"," ","321"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","20","105","106","96","95","103","77"," "," "," "," "," "," "," ","602"," ","602"
