"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","N","33","61","70","71","66","71","66"," "," "," "," "," "," "," ","438"," ","438"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","Y"," ","42","17","17","15","19","10"," "," "," "," "," "," "," ","120"," ","120"
"2010-2011","1","Accomack County","540","Arcadia High","N"," "," "," "," "," "," "," "," "," "," ","164","140","138","116","558"," ","558"
"2010-2011","1","Accomack County","540","Arcadia High","Y"," "," "," "," "," "," "," "," "," "," ","15","15","12","10","52"," ","52"
"2010-2011","1","Accomack County","704","Arcadia Middle","N"," "," "," "," "," "," "," ","134","146","143"," "," "," "," ","423"," ","423"
"2010-2011","1","Accomack County","704","Arcadia Middle","Y"," "," "," "," "," "," "," ","13","14","17"," "," "," "," ","44"," ","44"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","N","18","37","32","32","51","45","52"," "," "," "," "," "," "," ","267"," ","267"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","Y"," "," "," "," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","1","Accomack County","580","Chincoteague High","N"," "," "," "," "," "," "," ","41","40","36","38","43","34","46","278"," ","278"
"2010-2011","1","Accomack County","580","Chincoteague High","Y"," "," "," "," "," "," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2010-2011","1","Accomack County","600","Kegotank Elementary","N","54","77","77","83","85","55","62"," "," "," "," "," "," "," ","493"," ","493"
"2010-2011","1","Accomack County","600","Kegotank Elementary","Y"," ","29","22","13","26","13","<"," "," "," "," "," "," "," ","111"," ","111"
"2010-2011","1","Accomack County","702","Metompkin Elementary","N","36","66","55","56","54","67","82"," "," "," "," "," "," "," ","416"," ","416"
"2010-2011","1","Accomack County","702","Metompkin Elementary","Y"," ","38","42","27","40","27","27"," "," "," "," "," "," "," ","201"," ","201"
"2010-2011","1","Accomack County","70","Nandua High","N"," "," "," "," "," "," "," "," "," "," ","173","124","115","154","566"," ","566"
"2010-2011","1","Accomack County","70","Nandua High","Y"," "," "," "," "," "," "," "," "," "," ","12","13","<","<","37"," ","37"
"2010-2011","1","Accomack County","703","Nandua Middle","N"," "," "," "," "," "," "," ","150","144","133"," "," "," "," ","427"," ","427"
"2010-2011","1","Accomack County","703","Nandua Middle","Y"," "," "," "," "," "," "," ","11","15","19"," "," "," "," ","45"," ","45"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","N","29","74","66","82","64","76","75"," "," "," "," "," "," "," ","466"," ","466"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","Y"," ","11","16","13","<","10","13"," "," "," "," "," "," "," ","70"," ","70"
"2010-2011","1","Accomack County","530","Tangier Combined","N"," ","<","<","<","<","<","<","<","<","<","<","<","<","<","74"," ","74"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","N","23","64","61","56","65","68","79"," "," "," "," "," "," "," ","416"," ","416"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","Y"," ","19","21","29","18","16","12"," "," "," "," "," "," "," ","115"," ","115"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","N"," "," "," "," "," "," "," ","11","<","15"," "," "," "," ","32"," ","32"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","880","Albemarle High","N"," "," "," "," "," "," "," "," "," "," ","411","411","370","439","1,631","<","1,632"
"2010-2011","2","Albemarle County","880","Albemarle High","Y"," "," "," "," "," "," "," "," "," "," ","39","31","32","16","118"," ","118"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","N","28","48","66","62","80","71","82"," "," "," "," "," "," "," ","437"," ","437"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","Y"," ","<","10","<","<","<","<"," "," "," "," "," "," "," ","34"," ","34"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","N","20","16","24","23","22","23","25"," "," "," "," "," "," "," ","153"," ","153"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","Y"," "," ","<","<"," ","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","N"," ","50","47","50","47","45","71"," "," "," "," "," "," "," ","310"," ","310"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","N","20","102","103","91","93","101","75"," "," "," "," "," "," "," ","585"," ","585"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","17"," ","17"
"2010-2011","2","Albemarle County","340","Crozet Elementary","N"," ","45","52","51","50","52","56"," "," "," "," "," "," "," ","306"," ","306"
"2010-2011","2","Albemarle County","340","Crozet Elementary","Y"," ","<","<","<"," "," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","N","<","82","93","80","76","79","81"," "," "," "," "," "," "," ","492"," ","492"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","Y"," ","<","13","14","12","<","<"," "," "," "," "," "," "," ","63"," ","63"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","N"," "," "," "," "," "," "," ","162","152","189"," "," "," "," ","503"," ","503"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle","Y"," "," "," "," "," "," "," ","27","26","24"," "," "," "," ","77"," ","77"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","N"," "," "," "," "," "," "," ","146","160","141"," "," "," "," ","447","<","449"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle","Y"," "," "," "," "," "," "," ","20","14","17"," "," "," "," ","51"," ","51"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","N"," "," "," "," "," "," "," ","242","279","249"," "," "," "," ","770","<","771"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","Y"," "," "," "," "," "," "," ","<","<","12"," "," "," "," ","21"," ","21"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","N"," "," "," "," "," "," "," ","145","133","115"," "," "," "," ","393","<","395"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","N","32","50","51","50","51","53","47"," "," "," "," "," "," "," ","334"," ","334"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","Y"," ","30","26","20","21","15","33"," "," "," "," "," "," "," ","145"," ","145"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","N"," ","76","63","62","69","70","84"," "," "," "," "," "," "," ","424"," ","424"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","Y"," ","<","<","<","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","1052","Monticello High","N"," "," "," "," "," "," "," "," "," "," ","273","258","309","275","1,115","<","1,116"
"2010-2011","2","Albemarle County","1052","Monticello High","Y"," "," "," "," "," "," "," "," "," "," ","15","14","<","17","55"," ","55"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","N"," "," "," "," "," "," "," ","199","190","191"," "," "," "," ","580","<","581"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","Y"," "," "," "," "," "," "," ","<","<","12"," "," "," "," ","25"," ","25"
"2010-2011","2","Albemarle County","890","Murray High","N"," "," "," "," "," "," "," "," "," "," ","19","29","37","19","104"," ","104"
"2010-2011","2","Albemarle County","890","Murray High","Y"," "," "," "," "," "," "," "," "," "," "," "," "," ","<","<"," ","<"
