"School Year","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","31,831","92,981","95,365","93,685","93,327","93,960","94,178","92,755","92,549","91,857","102,297","96,792","91,290","89,082","1,251,949","317","1,252,266"
"2011-2012","32,901","95,659","95,017","95,321","93,828","93,768","94,309","94,855","93,358","93,350","100,589","95,471","90,929","89,166","1,258,521","375","1,258,896"
"2012-2013","32,777","97,001","97,262","95,229","95,403","94,001","93,937","94,867","95,133","93,768","101,738","94,801","90,123","88,840","1,264,880","397","1,265,277"
"2013-2014","33,101","96,113","99,803","97,156","95,382","95,621","93,991","94,516","95,066","95,763","102,231","96,327","89,596","88,544","1,273,210","322","1,273,532"
"2014-2015","32,784","93,807","98,992","99,441","97,040","95,198","95,639","94,283","94,903","95,545","105,324","97,371","91,323","88,123","1,279,773","597","1,280,370"
"2015-2016","33,401","90,991","96,417","98,693","99,237","96,844","95,382","96,010","94,574","95,211","104,124","99,969","92,269","90,372","1,283,494","620","1,284,114"
"2016-2017","33,230","90,850","93,998","96,565","99,017","99,257","97,158","95,948","96,405","95,228","104,007","99,861","94,769","90,418","1,286,711","1,322","1,288,033"
"2017-2018","33,562","91,053","94,312","94,164","96,942","99,299","99,546","97,612","96,625","96,873","103,897","99,488","94,813","93,053","1,291,239","1,467","1,292,706"
"2018-2019","33,733","91,074","94,041","94,174","94,438","96,855","99,584","99,792","97,855","96,733","104,755","98,767","93,680","93,695","1,289,176","1,337","1,290,513"
"2019-2020","34,373","92,407","94,392","94,793","94,684","95,342","97,614","100,317","100,531","98,549","106,266","99,920","93,716","93,918","1,296,822","1,261","1,298,083"
"2020-2021","27,986","80,586","89,210","89,877","91,025","91,834","92,703","95,586","98,957","99,499","102,932","101,512","95,394","94,398","1,251,499","1,257","1,252,756"
"2021-2022","31,412","87,057","87,180","89,550","90,010","90,903","91,388","92,443","95,094","98,880","109,552","98,222","94,022","94,485","1,250,198","1,772","1,251,970"
